,num_devices,task_data,local_completion_time,energy_consumed,total_weighted_waste,completion_time
29,50,45,1.5959507953277274e-10,6.1187035535992615e-06,3.059431574339397e-06,
30,50,10,1.2240668233343214e-09,4.692940436325084e-05,2.3465314215037087e-05,
31,50,45,6.644458605481066e-10,2.5474139052483514e-05,1.2737401749172031e-05,
32,50,25,8.937389309892485e-11,3.4264988551297793e-06,1.7132941145114391e-06,
33,50,5,8.541436604395349e-10,3.2746948500642565e-05,1.63739013221515e-05,
34,50,45,2.32017319000876e-10,8.89529425608457e-06,4.4477631367017855e-06,
35,50,20,2.983838991861861e-10,1.1439717500265475e-05,5.72000794208233e-06,
36,50,40,2.2984174868729272e-10,8.811885232148504e-06,4.406057536948596e-06,
37,50,35,1.3610762351779318e-09,5.2182197729927886e-05,2.6091779403081532e-05,
38,50,25,7.210096922893484e-10,2.764273547346062e-05,1.3821728241576455e-05,
39,50,25,1.5880280014352743e-09,6.088328414662579e-05,3.0442436087313613e-05,
40,50,45,4.047716701831658e-10,1.5518510119464305e-05,7.759457445567245e-06,
41,50,45,1.2424905588535727e-09,4.763575055087919e-05,2.381849652071902e-05,
42,50,30,2.0596084675741168e-09,7.89631715868849e-05,3.948261559767624e-05,
43,50,40,8.640026834962601e-10,3.312493283191898e-05,1.656289841730124e-05,
44,50,30,9.001708960664514e-13,3.451158316868652e-08,1.7256241669791293e-08,
45,50,15,1.7105890793779676e-10,6.558214394441122e-06,3.2791927266745296e-06,
46,50,15,2.358256050270615e-09,9.041299842909435e-05,4.520767834257231e-05,
47,50,15,1.7873404846445145e-09,6.852471020349016e-05,3.42632487719874e-05,
48,50,5,1.6878331328712192e-10,6.470970545091892e-06,3.2355696642025896e-06,
49,50,15,1.8138387554971835e-10,6.954062538399024e-06,3.4771219611372867e-06,
50,100,20,4.371670710209676e-10,1.676051491564492e-05,8.38047604135797e-06,
51,100,30,2.0891853766494422e-10,8.009711844284993e-06,4.004960381411329e-06,
52,100,25,2.0631418555537263e-09,7.909863787851731e-05,3.955035051018643e-05,
53,100,15,2.8481874832410043e-11,1.0919644218382686e-06,5.459964518565505e-07,
54,100,40,3.9338441964931076e-10,1.5081935191771023e-05,7.541164288095336e-06,
55,100,10,1.0802692557334879e-09,4.1416360411933585e-05,2.070872034059466e-05,
56,100,5,1.4415894717102535e-09,5.5268988550323644e-05,2.7635215069897678e-05,
57,100,20,2.7847924915132297e-11,1.067659464423496e-06,5.338436561742056e-07,
58,100,30,7.873554230236824e-10,3.0186359372134433e-05,1.5093573363778728e-05,
59,100,10,7.968344062649493e-10,3.0549773385979005e-05,1.5275285110192635e-05,
60,100,10,1.4367967368584034e-10,5.508524025523005e-06,2.7543338525983454e-06,
61,100,20,1.2591819507668256e-09,4.827568054943009e-05,2.4138469865690428e-05,
62,100,35,2.010858463751549e-09,7.709414891713606e-05,3.8548079887799905e-05,
63,100,35,2.637912629214755e-09,0.00010113473063025246,5.056868427144084e-05,
64,100,45,2.0601461639849253e-09,7.898378628847347e-05,3.949292321731873e-05,
65,100,25,2.351425494184533e-10,9.01511222614874e-06,4.507673684349079e-06,
66,100,40,8.092299793413657e-10,3.102500631454804e-05,1.551290777226369e-05,
67,100,35,1.182713099984371e-09,4.5343947125116246e-05,2.2672564919108114e-05,
68,100,5,6.520847339251781e-10,2.5000226763861413e-05,1.2500439424297668e-05,
69,100,15,1.0578124563281811e-09,4.055539089629448e-05,2.0278224354375404e-05,
70,100,35,8.69547602869803e-10,3.3337519071887296e-05,1.666919430974508e-05,
71,100,5,2.2543643029144628e-10,8.642990066944701e-06,4.321607751687496e-06,
72,100,5,3.459434974384995e-10,1.3263101301859592e-05,6.631723622678516e-06,
73,100,10,6.941586044665653e-12,2.661329367011523e-07,1.3306993914359848e-07,
