,num_devices,task_data,transmission_rate,completion_time,energy_consumed
5188,200,35,1000,0.18294108072916665,0.14
5189,300,35,1000,0.18294108072916665,0.14
5190,200,35,1000,0.18294108072916665,0.14
5191,200,35,1000,0.18294108072916665,0.14
5192,150,20,500,0.18294108072916665,0.16
5193,200,15,500,0.18294108072916665,0.12
5194,300,15,500,0.18294108072916665,0.12
5195,150,45,1500,0.18355143229166665,0.12
5196,300,45,1500,0.18355143229166665,0.12
5197,200,35,1000,0.18355143229166665,0.14
5198,250,35,1000,0.18355143229166665,0.14
5199,250,35,1000,0.18355143229166665,0.14
5200,250,35,1000,0.18355143229166665,0.14
5201,250,35,1000,0.18355143229166665,0.14
5202,250,35,1000,0.18355143229166665,0.14
5203,250,35,1000,0.18355143229166665,0.14
5204,50,35,1000,0.18355143229166665,0.14
5205,200,30,1000,0.18355143229166665,0.12
5206,250,30,1000,0.18355143229166665,0.12
5207,250,20,500,0.18355143229166665,0.16
5208,50,20,500,0.18355143229166665,0.16
5209,250,20,500,0.18355143229166665,0.16
5210,250,15,500,0.18355143229166665,0.12
5211,300,15,500,0.18355143229166665,0.12
5212,150,45,1500,0.18416178385416665,0.12
5213,100,40,1000,0.18416178385416665,0.16
5214,300,40,1500,0.18416178385416665,0.10666666666666667
5215,300,40,1500,0.18416178385416665,0.10666666666666667
5216,200,40,1000,0.18416178385416665,0.16
5217,250,35,1000,0.18416178385416665,0.14
5218,300,35,1000,0.18416178385416665,0.14
5219,300,35,1000,0.18416178385416665,0.14
5220,250,30,1000,0.18416178385416665,0.12
5221,200,20,500,0.18416178385416665,0.16
5222,200,20,500,0.18416178385416665,0.16
5223,300,20,500,0.18416178385416665,0.16
5224,300,20,500,0.18416178385416665,0.16
5225,300,15,500,0.18416178385416665,0.12
5226,300,15,500,0.18416178385416665,0.12
5227,100,15,500,0.18416178385416665,0.12
5228,150,45,1500,0.18477213541666665,0.12
5229,50,35,1000,0.18477213541666665,0.14
5230,100,35,1000,0.18477213541666665,0.14
5231,150,35,1000,0.18477213541666665,0.14
5232,250,35,1000,0.18477213541666665,0.14
5233,250,35,1000,0.18477213541666665,0.14
5234,250,35,1000,0.18477213541666665,0.14
5235,300,35,1000,0.18477213541666665,0.14
5236,200,20,500,0.18477213541666665,0.16
5237,300,20,500,0.18477213541666665,0.16
5238,150,15,500,0.18477213541666665,0.12
5239,300,15,500,0.18477213541666665,0.12
5240,150,45,1500,0.18538248697916665,0.12
5241,150,45,1500,0.18538248697916665,0.12
5242,200,40,1000,0.18538248697916665,0.16
5243,250,35,1000,0.18538248697916665,0.14
5244,250,35,1000,0.18538248697916665,0.14
5245,250,35,1000,0.18538248697916665,0.14
5246,300,35,1000,0.18538248697916665,0.14
5247,150,35,1000,0.18538248697916665,0.14
5248,150,35,1000,0.18538248697916665,0.14
5249,250,30,1000,0.18538248697916665,0.12
5250,200,30,1000,0.18538248697916665,0.12
5251,50,20,500,0.18538248697916665,0.16
5252,200,20,500,0.18538248697916665,0.16
5253,50,20,500,0.18538248697916665,0.16
5254,250,20,500,0.18538248697916665,0.16
5255,300,15,500,0.18538248697916665,0.12
5256,200,45,1500,0.18599283854166665,0.12
5257,200,45,1500,0.18599283854166665,0.12
5258,300,40,1500,0.18599283854166665,0.10666666666666667
5259,150,40,1000,0.18599283854166665,0.16
5260,200,35,1000,0.18599283854166665,0.14
5261,300,35,1000,0.18599283854166665,0.14
5262,200,30,1000,0.18599283854166665,0.12
5263,100,30,1000,0.18599283854166665,0.12
5264,100,20,500,0.18599283854166665,0.16
5265,150,20,500,0.18599283854166665,0.16
5266,300,20,500,0.18599283854166665,0.16
5267,150,20,500,0.18599283854166665,0.16
5268,150,15,500,0.18599283854166665,0.12
5269,150,15,500,0.18599283854166665,0.12
5270,250,45,1500,0.18660319010416665,0.12
5271,250,45,1500,0.18660319010416665,0.12
5272,300,35,1000,0.18660319010416665,0.14
5273,300,35,1000,0.18660319010416665,0.14
5274,150,20,500,0.18660319010416665,0.16
5275,250,20,500,0.18660319010416665,0.16
5276,250,20,500,0.18660319010416665,0.16
5277,250,20,500,0.18660319010416665,0.16
5278,250,20,500,0.18660319010416665,0.16
5279,250,15,500,0.18660319010416665,0.12
5280,300,35,1000,0.18721354166666665,0.14
5281,300,30,1000,0.18721354166666665,0.12
5282,150,20,500,0.18721354166666665,0.16
5283,150,20,500,0.18721354166666665,0.16
5284,250,20,500,0.18721354166666665,0.16
5285,250,15,500,0.18721354166666665,0.12
5286,300,15,500,0.18721354166666665,0.12
5287,250,45,1500,0.18782389322916665,0.12
5288,250,45,1500,0.18782389322916665,0.12
5289,50,45,1500,0.18782389322916665,0.12
5290,200,45,1500,0.18782389322916665,0.12
5291,100,40,1000,0.18782389322916665,0.16
5292,250,35,1000,0.18782389322916665,0.14
5293,250,35,1000,0.18782389322916665,0.14
5294,300,30,1000,0.18782389322916665,0.12
5295,300,30,1000,0.18782389322916665,0.12
5296,300,30,1000,0.18782389322916665,0.12
