,Task Size (Mbit),Number of Devices,Transmission Rate (kb/s),Mean Completion Time (s),Energy Consumption (Joules)
122,30,150,1000,26013193.224501316,3.0
123,35,150,1000,30347302.91884151,3.5
124,40,150,1000,0.05333333333333334,2.25e-71
125,45,150,1000,39014185.57575532,4.5
126,5,150,1500,4344692.401225625,0.5
127,10,150,1500,8676186.276966557,1.0
128,15,150,1500,0.02,8.4375e-72
129,20,150,1500,17344510.493163034,2.0
130,25,150,1500,0.03333333333333333,1.40625e-71
131,30,150,1500,0.04,1.6875e-71
132,35,150,1500,0.04666666666666667,1.96875e-71
133,40,150,1500,0.05333333333333334,2.25e-71
134,45,150,1500,39011507.503854595,4.5
135,5,150,2000,0.006666666666666667,2.8125e-72
136,10,150,2000,8676961.358954182,1.0
137,15,150,2000,0.02,8.4375e-72
138,20,150,2000,17341726.009644363,2.0
139,25,150,2000,21673391.349210307,2.5
140,30,150,2000,26008409.532282967,3.0
141,35,150,2000,30340886.313807216,3.5
142,40,150,2000,34673438.92675474,4.0
143,45,150,2000,39006696.5668911,4.5
144,5,150,2500,4344214.023347482,0.5
145,10,150,2500,0.013333333333333334,5.625e-72
146,15,150,2500,13010118.879758412,1.5
147,20,150,2500,0.02666666666666667,1.125e-71
148,25,150,2500,21673178.07609883,2.5
149,30,150,2500,0.04,1.6875e-71
150,35,150,2500,30339657.100225758,3.5
151,40,150,2500,34673879.010793604,4.0
152,45,150,2500,0.06,2.53125e-71
153,5,150,3000,0.006666666666666667,2.8125e-72
154,10,150,3000,8674135.310798643,1.0
155,15,150,3000,0.02,8.4375e-72
156,20,150,3000,0.02666666666666667,1.125e-71
157,25,150,3000,0.03333333333333333,1.40625e-71
158,30,150,3000,0.04,1.6875e-71
159,35,150,3000,30340564.676020756,3.5
160,40,150,3000,0.05333333333333334,2.25e-71
161,45,150,3000,39004633.76650099,4.5
162,5,200,500,4347521.498012405,0.5
163,10,200,500,8682631.378876092,1.0
164,15,200,500,13015491.154944569,1.5
165,20,200,500,0.02666666666666667,1.125e-71
166,25,200,500,21688618.389055178,2.5
167,30,200,500,0.04,1.6875e-71
168,35,200,500,30357997.80893999,3.5
169,40,200,500,34694066.45089727,4.0
170,45,200,500,39031122.64595243,4.5
171,5,200,1000,4342023.516435644,0.5
172,10,200,1000,0.013333333333333334,5.625e-72
173,15,200,1000,0.02,8.4375e-72
174,20,200,1000,17345244.69406658,2.0
175,25,200,1000,21679805.712131195,2.5
176,30,200,1000,0.04,1.6875e-71
177,35,200,1000,30348353.918678593,3.5
178,40,200,1000,0.05333333333333334,2.25e-71
179,45,200,1000,0.06,2.53125e-71
180,5,200,1500,4342104.045713303,0.5
181,10,200,1500,0.013333333333333334,5.625e-72
182,15,200,1500,0.02,8.4375e-72
183,20,200,1500,0.02666666666666667,1.125e-71
184,25,200,1500,21675191.530849494,2.5
185,30,200,1500,0.04,1.6875e-71
186,35,200,1500,0.04666666666666667,1.96875e-71
187,40,200,1500,34674711.768016614,4.0
188,45,200,1500,39011383.56452212,4.5
189,5,200,2000,0.006666666666666667,2.8125e-72
190,10,200,2000,8676574.97077674,1.0
191,15,200,2000,13009562.976911338,1.5
192,20,200,2000,0.02666666666666667,1.125e-71
193,25,200,2000,0.03333333333333333,1.40625e-71
194,30,200,2000,0.04,1.6875e-71
195,35,200,2000,0.04666666666666667,1.96875e-71
196,40,200,2000,34674383.449590355,4.0
197,45,200,2000,0.06,2.53125e-71
198,5,200,2500,4342789.194272453,0.5
199,10,200,2500,8674789.748141244,1.0
200,15,200,2500,13010247.597169304,1.5
201,20,200,2500,0.02666666666666667,1.125e-71
202,25,200,2500,21674978.376934446,2.5
203,30,200,2500,0.04,1.6875e-71
204,35,200,2500,30339136.999119677,3.5
205,40,200,2500,0.05333333333333334,2.25e-71
